Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
50340,LILCAKES AND CREAMERY,844 ROCKVILLE PIKE,,ROCKVILLE,20852,01/27/2023,No Critical Violations Noted,Pre-Opening - Environmental,MOHAMMAD NADDEM,Restaurant,Food,39.0757,-77.1367,POINT (-77.1367 39.0757)
51428,VIM & VICTOR WELLNESS AT THE ST. JAMES,6828 WISCONSIN AVE,,CHEVY CHASE,20815,01/25/2023,No Critical Violations Noted,Pre-Opening - Environmental,TSJ BETHESA PROPERTY LLC,Market,Food,38.9784,-77.0917,POINT (-77.0917 38.9784)
52627,LAPERAUX - THE JOURNEYMANCHEF'S FRENCH BISTRO,18056 MATENY RD,,GERMANTOWN,20874,01/23/2023,No Critical Violations Noted,Pre-Opening - Environmental,LAPERAUX LLC,Restaurant,Food,39.1485,-77.2735,POINT (-77.2735 39.1485)
52615,ETHIO BLACK LION CAFE,8240 FENTON STREET,,SILVER SPRING,20910,01/20/2023,No Critical Violations Noted,Pre-Opening - Environmental,BLACK LION CAFE LLC,Restaurant,Food,38.9927,-77.0245,POINT (-77.0245 38.9927)
51437,JOLLOFF ETCETERA,11237 NEW HAMPSHIRE AVE,,SILVER SPRING,20904,01/19/2023,Critical Violations Corrected,Pre-Opening - Environmental,OBI ONUOHA,Restaurant,Food,39.0413,-76.9882,POINT (-76.9882 39.0413)
51481,HISSHO SUSHI @ GIANT FOOD #106,7919 TUCKERMAN LANE,,POTOMAC,20854,01/19/2023,No Critical Violations Noted,Pre-Opening - Environmental,LWIN FAMILY COMPANY LLC,Market,Food,39.0409,-77.1565,POINT (-77.1565 39.0409)
20502,SWEETGREEN,4831 BETHESDA AVE,,BETHESDA,20814,01/19/2023,No Critical Violations Noted,Pre-Opening - Environmental,SWEETGREEN MARYLAND LLC,Market,Food,38.9811,-77.097,POINT (-77.097 38.9811)
52582,SIP & DEVELOP,8501 FENTON ST,,SILVER SPRING,20910,01/11/2023,No Critical Violations Noted,Pre-Opening - Environmental,RASHON ROBINSON,Market,Food,38.996,-77.0244,POINT (-77.0244 38.996)
52580,SKY BLUE LOUNGE,8081 B & 8081-C GEORGIA AVE,,SILVER SPRING,20910,01/09/2023,No Critical Violations Noted,Pre-Opening - Environmental,NKONGCHU JULIUS N,Restaurant,Food,38.99,-77.0262,POINT (-77.0262 38.99)
50300,BENTO SUSHI,7750 WISCONSIN AVE,,BETHESDA,20814,01/06/2023,No Critical Violations Noted,Pre-Opening - Environmental,BENTO NOUVEAU INC,Restaurant,Food,38.9876,-77.0954,POINT (-77.0954 38.9876)
52584,STONE BAKERY,1327-G ROCKVILLE PIKE,,ROCKVILLE,20852,01/04/2023,No Critical Violations Noted,Pre-Opening - Environmental,MOHAMMAD KHAZAEI,Market,Food,39.0683,-77.1302,POINT (-77.1302 39.0683)
45702,SELAM ETHIO MARKET,14436 LAYHILL RD,,SILVER SPRING,20906,01/04/2023,No Critical Violations Noted,Pre-Opening - Environmental,SELAMANIT DEBELA,Market,Food,39.093,-77.0459,POINT (-77.0459 39.093)
41291,WENDY'S #6527,15807 FREDERICK ROAD,,ROCKVILLE,20855,01/04/2023,No Critical Violations Noted,Pre-Opening - Environmental,WENDY CENTRAL MARYLAND LLC,Restaurant,Food,39.1151,-77.1644,POINT (-77.1644 39.1151)
51542,CROSSROADS TEAHOUSE,8814 BROOKVILLE RD,,SILVER SPRING,20910,01/04/2023,No Critical Violations Noted,Pre-Opening - Environmental,MAX HERNANDEZ/CROSSROAD TEAHOUSE,Caterer,Food,39.0055,-77.0552,POINT (-77.0552 39.0055)
51531,KUNG FU TEA,3128 OLNEY SANDY SPRING RD,,OLNEY,20832,12/29/2022,No Critical Violations Noted,Pre-Opening - Environmental,KFT OLNEY INC,Market,Food,39.1511,-77.0643,POINT (-77.0643 39.1511)
51512,HICKORY FARMS #10179,13052 MIDDLEBROOK RD,,GERMANTOWN,20874,12/23/2022,No Critical Violations Noted,Pre-Opening - Environmental,HICKORY FARMS LLC,Market,Food,39.1818,-77.2716,POINT (-77.2716 39.1818)
51519,DUNKIN' DONUTS,14328 LAYHILL RD,,SILVER SPRING,20906,12/21/2022,No Critical Violations Noted,Pre-Opening - Environmental,LAYHILL DONUTS LLC,Market,Food,39.0914,-77.0459,POINT (-77.0459 39.0914)
51533,LOVE AND FLOUR BAKERY,8202 PINEY BRANCH RD,,SILVER SPRING,20910,12/19/2022,No Critical Violations Noted,Pre-Opening - Environmental,LOVE AND FLOUR BAKERY,Market,Food,38.9931,-77.0097,POINT (-77.0097 38.9931)
51541,MIRABEAU,5751 FISHERS LANE,STE C,ROCKVILLE,20850,12/15/2022,No Critical Violations Noted,Pre-Opening - Environmental,EHONG LLC,Restaurant,Food,39.0632,-77.1177,POINT (-77.1177 39.0632)
51543,PIZZA HUT,18070 MATENY RD,,GERMANTOWN,20874,12/15/2022,Critical Violations Corrected,Pre-Opening - Environmental,CHAAC PIZZA NORTHEAST LLC,Restaurant,Food,39.1473,-77.2727,POINT (-77.2727 39.1473)
51478,SWEETGREEN,299 COPLEY PLACE,STE D100,GAITHERSBURG,20878,12/15/2022,No Critical Violations Noted,Pre-Opening - Environmental,SWEETGREEN MARYLAND LLC,Restaurant,Food,39.1153,-77.2067,POINT (-77.2067 39.1153)
51442,RICO'S ICE CREAM,11160 VEIRS MILL RD,,SILVER SPRING,20902,12/13/2022,No Critical Violations Noted,Pre-Opening - Environmental,RICOS ICE CREAM LLC,Restaurant,Food,39.037,-77.0539,POINT (-77.0539 39.037)
1748,NEGRIL,965 THAYER AVE.,,SILVER SPRING,20910,12/12/2022,No Critical Violations Noted,Pre-Opening - Environmental,"NEGRIL EATERY, INC.",Restaurant,Food,38.9931,-77.026,POINT (-77.026 38.9931)
51522,DELHI SPICE,4925 BETHESDA AVE,,BETHESDA,20814,12/10/2022,No Critical Violations Noted,Pre-Opening - Environmental,MATSYA LLC,Restaurant,Food,38.981,-77.0994,POINT (-77.0994 38.981)
51534,SUSHI LEGEND CAJUN SEAFOOD & BAR,19961 CENTURY BLVD,,GERMANTOWN,20874,12/09/2022,No Critical Violations Noted,Pre-Opening - Environmental,SUSHI LEGEND INC,Restaurant,Food,39.1836,-77.2618,POINT (-77.2618 39.1836)
29635,EAST GRILL KARAOKE #1,12 N WASHINGTON ST,STE 7-G,ROCKVILLE,20850,12/06/2022,No Critical Violations Noted,Pre-Opening - Environmental,HONG REN,Restaurant,Food,39.0847,-77.1534,POINT (-77.1534 39.0847)
51508,ADONNI'S DESSERTS,7101 DEMOCRACY BLVD,#2154,BETHESDA,20817,11/30/2022,No Critical Violations Noted,Pre-Opening - Environmental,TARAINE GROUP,Market,Food,39.0243,-77.146,POINT (-77.146 39.0243)
47026,THAT SMOOTHIE PLACE,9815 MAIN STREET,STE 106,DAMASCUS,20872,11/30/2022,No Critical Violations Noted,Pre-Opening - Environmental,MONIQUE SOTOMARINO/ THAT SMOOTHIE PLACE INC,Market,Food,39.289,-77.2026,POINT (-77.2026 39.289)
51468,FRYER'S ROADSIDE,12830 NEW HAMPSHIRE AVE,,SILVER SPRING,20904,11/29/2022,No Critical Violations Noted,Pre-Opening - Environmental,FRYERS ROADSIDE LLC,Restaurant,Food,39.0657,-77.0009,POINT (-77.0009 39.0657)
51500,LA CATRINA LOUNGE,4935 CORDELL AVE,,BETHESDA,20814,11/22/2022,No Critical Violations Noted,Pre-Opening - Environmental,LA CATRINA LOUNGE INC,Restaurant,Food,38.9887,-77.0992,POINT (-77.0992 38.9887)
51502,HULU SKEWER HOUSE,"1488-B ROCKVILLE PIKE,",,ROCKVILLE,20852,11/21/2022,No Critical Violations Noted,Pre-Opening - Environmental,INVSIGHT GROUP LLC,Restaurant,Food,39.0659,-77.1261,POINT (-77.1261 39.0659)
51501,HANGRY JOE HOT CHICKEN,718 B ROCKVILLE PIKE,,ROCKVILLE,20852,11/16/2022,No Critical Violations Noted,Pre-Opening - Environmental,YONG KIM/ HANGRY JOE HOT CHICKEN,Restaurant,Food,39.0796,-77.1417,POINT (-77.1417 39.0796)
51492,THE BREAKFAST CLUB,8240 FENTON STREET,,SILVER SPRING,20910,11/09/2022,No Critical Violations Noted,Pre-Opening - Environmental,EAT 2 LIVE LLC,Restaurant,Food,38.9926,-77.0244,POINT (-77.0244 38.9926)
51466,CLEAR SKIES MEADERY,15201 DISPLAY CT,,ROCKVILLE,20850,11/09/2022,No Critical Violations Noted,Pre-Opening - Environmental,R & H EIGNER LLC,Restaurant,Food,39.1046,-77.1469,POINT (-77.1469 39.1046)
