"iso","adm1","sbtn_natural_forests__class","area__ha"
"USA",21,"Natural Forest",965898.64140549333313533
"USA",21,"Non-Natural Forest",39287.961499416564227585
"USA",21,"Unknown",1561659.121921238112828413
